61	eR8UNorm	DXGI_FORMAT_R8_UNORM	
63	eR8SNorm	DXGI_FORMAT_R8_SNORM	
62	eR8UInt	DXGI_FORMAT_R8_UINT	
49	eR8G8UNorm	DXGI_FORMAT_R8G8_UNORM	
51	eR8G8SNorm	DXGI_FORMAT_R8G8_SNORM	
50	eR8G8UInt	DXGI_FORMAT_R8G8_UINT	
29	eR8G8B8A8sRGB	DXGI_FORMAT_R8G8B8A8_UNORM_SRGB	
28	eR8G8B8A8UNorm	DXGI_FORMAT_R8G8B8A8_UNORM	
31	eR8G8B8A8SNorm	DXGI_FORMAT_R8G8B8A8_SNORM	
30	eR8G8B8A8UInt	DXGI_FORMAT_R8G8B8A8_UINT	
56	eR16UNorm	DXGI_FORMAT_R16_UNORM	
58	eR16SNorm	DXGI_FORMAT_R16_SNORM	
57	eR16UInt	DXGI_FORMAT_R16_UINT	
54	eR16Float	DXGI_FORMAT_R16_FLOAT	
35	eR16G16UNorm	DXGI_FORMAT_R16G16_UNORM	
37	eR16G16SNorm	DXGI_FORMAT_R16G16_SNORM	
36	eR16G16UInt	DXGI_FORMAT_R16G16_UINT	
34	eR16G16Float	DXGI_FORMAT_R16G16_FLOAT	
11	eR16G16B16A16UNorma	DXGI_FORMAT_R16G16B16A16_UNORM	
13	eR16G16B16A16SNorm	DXGI_FORMAT_R16G16B16A16_SNORM	
12	eR16G16B16A16UInt	DXGI_FORMAT_R16G16B16A16_UINT	
10	eR16G16B16A16Float	DXGI_FORMAT_R16G16B16A16_FLOAT	
46	eR24UNorm	DXGI_FORMAT_R24_UNORM_X8_TYPELESS	
42	eR32UInt	DXGI_FORMAT_R32_UINT	
41	eR32Float	DXGI_FORMAT_R32_FLOAT	
17	eR32G32UInt	DXGI_FORMAT_R32G32_UINT	
16	eR32G32Float	DXGI_FORMAT_R32G32_FLOAT	
3	eR32G32B32A32UInt	DXGI_FORMAT_R32G32B32A32_UINT	
2	eR32G32B32A32Float	DXGI_FORMAT_R32G32B32A32_FLOAT	
85	eR5G6B5UNorm	DXGI_FORMAT_B5G6R5_UNORM	Reversed?
26	eR11G11B10Float	DXGI_FORMAT_R11G11B10_FLOAT	
24	eR10G10B10A2UNorm	DXGI_FORMAT_R10G10B10A2_UNORM	
72	eBC1sRGB	DXGI_FORMAT_BC1_UNORM_SRGB	
71	eBC1UNorm	DXGI_FORMAT_BC1_UNORM	
75	eBC2sRGB	DXGI_FORMAT_BC2_UNORM_SRGB	
74	eBC2UNorm	DXGI_FORMAT_BC2_UNORM	
78	eBC3sRGB	DXGI_FORMAT_BC3_UNORM_SRGB	
77	eBC3UNorm	DXGI_FORMAT_BC3_UNORM	
80	eBC4UNorm	DXGI_FORMAT_BC4_UNORM	
81	eBC4SNorm	DXGI_FORMAT_BC4_SNORM	
83	eBC5UNorm	DXGI_FORMAT_BC5_UNORM	
84	eBC5SNorm	DXGI_FORMAT_BC5_SNORM	
94	eBC6	DXGI_FORMAT_BC6H_TYPELESS	Could also be UF16 or SF16, need to check.
99	eBC7sRGB	DXGI_FORMAT_BC7_UNORM_SRGB	
98	eBC7UNorm	DXGI_FORMAT_BC7_UNORM	
